Day	Time	Location	Class	Trainer	Notes
Monday	7:15 AM	Kwality House, Kemps Corner	Studio Strength Lab (Pull)	Anisha Shah	
Monday	7:30 AM	Kwality House, Kemps Corner	Studio Barre 57	Simonelle De Vitre	
Monday	7:30 AM	Supreme HQ, Bandra	Studio Mat 57	Vivaran Dhasmana	
Monday	8:00 AM	Kwality House, Kemps Corner	Studio PowerCycle	Richard D'Costa	Cover: Richard D'Costa
Monday	8:30 AM	Kwality House, Kemps Corner	Studio Mat 57	Anisha Shah	
Monday	8:45 AM	Supreme HQ, Bandra	Studio PowerCycle	Karan Bhatia	Cover: Karan Bhatia
Monday	9:00 AM	Supreme HQ, Bandra	Studio Cardio Barre	Vivaran Dhasmana	
Monday	9:15 AM	Kwality House, Kemps Corner	Studio Strength Lab (Push)	Richard D'Costa	Cover: Richard D'Costa
Monday	9:45 AM	Supreme HQ, Bandra	Studio Barre 57	Simran Dutt	
Monday	10:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Karan Bhatia	Cover: Karan Bhatia
Monday	10:00 AM	Kwality House, Kemps Corner	Studio Barre 57	Simonelle De Vitre	
Monday	11:30 AM	Kwality House, Kemps Corner	Studio Cardio Barre Plus	Richard D'Costa	Cover: Richard D'Costa
Monday	11:30 AM	Supreme HQ, Bandra	Studio Barre 57	Simran Dutt	
Monday	5:45 PM	Kwality House, Kemps Corner	Studio Mat 57 Express	Pranjali Jain	
Monday	6:00 PM	Kwality House, Kemps Corner	Studio PowerCycle	Anmol Sharma	
Monday	6:00 PM	Supreme HQ, Bandra	Studio PowerCycle	Bret Saldanha	
Monday	6:00 PM	Kwality House, Kemps Corner	Studio FIT	Atulan Purohit	
Monday	6:15 PM	Supreme HQ, Bandra	Studio Barre 57	Mrigakshi Jaiswal	
Monday	6:45 PM	Kwality House, Kemps Corner	Studio Barre 57	Pranjali Jain	
Monday	7:15 PM	Kwality House, Kemps Corner	Studio Strength Lab (Pull)	Atulan Purohit	
Monday	7:30 PM	Kwality House, Kemps Corner	Studio PowerCycle	Anmol Sharma	
Monday	7:30 PM	Supreme HQ, Bandra	Studio FIT	Mrigakshi Jaiswal	
Monday	7:30 PM	Supreme HQ, Bandra	Studio PowerCycle	Bret Saldanha	
Tuesday	7:15 AM	Supreme HQ, Bandra	Studio Barre 57	Karan Bhatia	
Tuesday	7:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Richard D'Costa	
Tuesday	7:30 AM	Kwality House, Kemps Corner	Studio FIT	Pranjali Jain	
Tuesday	8:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Bret Saldanha	Cover: Bret Saldanha
Tuesday	8:30 AM	Kwality House, Kemps Corner	Studio Amped Up!	Atulan Purohit	Cover: Atulan Purohit
Tuesday	8:30 AM	Supreme HQ, Bandra	Studio Cardio Barre Express	Karan Bhatia	
Tuesday	9:00 AM	Kwality House, Kemps Corner	Studio Barre 57	Richard D'Costa	
Tuesday	9:00 AM	Kwality House, Kemps Corner	Studio Strength Lab (Full Body)	Pranjali Jain	
Tuesday	9:30 AM	Supreme HQ, Bandra	Studio FIT	Mrigakshi Jaiswal	
Tuesday	9:45 AM	Supreme HQ, Bandra	Studio PowerCycle	Bret Saldanha	Cover: Bret Saldanha
Tuesday	10:15 AM	Kwality House, Kemps Corner	Studio Cardio Barre Express	Pranjali Jain	
Tuesday	10:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Richard D'Costa	
Tuesday	11:00 AM	Kwality House, Kemps Corner	Studio Mat 57	Atulan Purohit	Cover: Atulan Purohit
Tuesday	11:00 AM	Supreme HQ, Bandra	Studio Back Body Blaze	Mrigakshi Jaiswal	
Tuesday	5:45 PM	Kwality House, Kemps Corner	Studio Barre 57	Rohan Dahima	
Tuesday	5:45 PM	Supreme HQ, Bandra	Studio Mat 57	Simonelle De Vitre	
Tuesday	6:00 PM	Supreme HQ, Bandra	Studio PowerCycle	Raunak Khemuka	
Tuesday	6:00 PM	Kwality House, Kemps Corner	Studio Strength Lab (Pull)	Anisha Shah	
Tuesday	6:00 PM	Kwality House, Kemps Corner	Studio PowerCycle	Anmol Sharma	
Tuesday	7:00 PM	Supreme HQ, Bandra	Studio Barre 57	Simonelle De Vitre	
Tuesday	7:15 PM	Kwality House, Kemps Corner	Studio PowerCycle	Rohan Dahima	
